127.0.0.1 - - [03/Aug/2026 18:00:33] "GET /test_translate.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:23] "GET /Styles/style-macos8.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:23] "GET /reel2.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:23] "GET /images/comps%20(1).png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:23] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [03/Aug/2026 18:05:23] "GET /Styles/style-abstract.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:40] "GET /reel2.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:40] "GET /Styles/style-macos8.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:40] "GET /images/comps%20(1).png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:05:40] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [03/Aug/2026 18:05:40] "GET /Styles/style-abstract.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:06:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:06:08] "GET /Styles/style-macos8.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:06:08] "GET /reel2.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:06:08] "GET /images/comps%20(1).png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:06:08] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [03/Aug/2026 18:06:08] "GET /Styles/style-abstract.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:08:30] code 404, message File not found
127.0.0.1 - - [03/Aug/2026 18:08:30] "GET /robots.txt HTTP/1.1" 404 -
127.0.0.1 - - [03/Aug/2026 18:08:34] "GET /screenshot_abstract.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:09:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:09:00] "GET /Styles/style-macos8.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:09:00] "GET /reel2.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:09:00] "GET /images/comps%20(1).png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:09:00] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [03/Aug/2026 18:09:00] "GET /Styles/style-abstract.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:09:22] code 404, message File not found
127.0.0.1 - - [03/Aug/2026 18:09:22] "GET /robots.txt HTTP/1.1" 404 -
127.0.0.1 - - [03/Aug/2026 18:09:26] "GET /screenshot_abstract_mobile.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:10:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:10:30] "GET /reel2.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:10:30] "GET /Styles/style-macos8.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:10:30] "GET /images/comps%20(1).png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:10:30] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [03/Aug/2026 18:10:30] "GET /Styles/style-abstract.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:11:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:11:42] "GET /Styles/style-macos8.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:11:42] "GET /reel2.png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:11:42] "GET /images/comps%20(1).png HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 18:11:42] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [03/Aug/2026 18:11:42] "GET /Styles/style-abstract.css HTTP/1.1" 200 -
